{{Base item
|rarity                                  = Normal
|name                                    = Birth of the Three
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = A small token of Her affliction.
|drop_level                              = 1
|tags                                    = weapon_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardBirthOfTheThree
|stack_size                              = 3
|description                             = {{c|unique|{{il|The Goddess Bound|html=}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
