{{Base item
|rarity                                  = Normal
|name                                    = The Avenger
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Justice comes swift <br>Equal to the crime <br>Revenge is a gift <br>Life for a life <br>Eye for an eye
|drop_level                              = 1
|tags                                    = weapon_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheAvenger
|stack_size                              = 12
|description                             = {{c|unique|{{il|Mjölner|html=}}}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
