{{Base item
|rarity                                  = Normal
|name                                    = The Union
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = On the 21st of Eterni, <br>two become one, <br>their light outshines <br>the setting sun.
|drop_level                              = 1
|tags                                    = divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheUnion
|stack_size                              = 7
|description                             = {{c|currency|10x {{il|Gemcutter's Prism|html=}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
