{{Base item
|rarity                                  = Normal
|name                                    = The Wind
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Weaving through the cracks, searching for weaknesses, silent, indiscriminate, leaving sorrow in its wake.
|drop_level                              = 1
|tags                                    = weapon_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheWind
|stack_size                              = 7
|description                             = {{c|unique|{{il|Windripper|html=}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
