{{Base item
|rarity                                  = Normal
|name                                    = Whispering Essence of Greed
|class_id                                = StackableCurrency
|size_x                                  = 1
|size_y                                  = 1
|drop_level                              = 1
|tags                                    = essence, currency, default
|metadata_id                             = Metadata/Items/Currency/CurrencyEssenceGreed1
|stack_size                              = 9
|description                             = Upgrades a normal item to rare with one guaranteed property<br />Properties restricted to level 35 and below<br /><br />Weapon: (0.5-0.7)% of Physical [[Attack Damage]] Leeched as [[Life]]<br />Armour: +(5-14) to maximum [[Life]]<br />Quiver: (0.5-0.7)% of Physical [[Attack Damage]] Leeched as [[Life]]<br />Belt: (8-11)% increased Flask [[Life]] Recovery rate<br />Other Jewellery: (1-2) [[Life]] Regenerated per second
|help_text                               = Right click this item then left click a normal item to apply it.<br>Shift click to unstack.
|stack_size_currency_tab                 = 5000
|drop_level_maximum                      = 47
|essence_level_restriction               = 35
|essence_level                           = 1
|essence_monster_modifier_ids            = EssenceDaemonModLifeAndDamageLevel1
|is_essence                              = True
|upgraded_from_set1_text                 = random {{c|currency|Essence}}
|upgraded_from_set1_group1_item_id       = Metadata/Items/DivinationCards/DivinationCardThreeVoices
|upgraded_from_set1_group1_amount        = 3
}}
